lad_name,gt_id,gt_page_id,gt_globe,gt_primary,gt_lat,gt_lon,gt_dim,gt_type,gt_name,gt_country,gt_region,page_id,page_namespace,page_title,page_restrictions,page_is_redirect,page_is_new,page_random,page_touched,page_links_updated,page_latest,page_len,page_content_model,page_lang
Barking and Dagenham,598250437,51135731,earth,1,51.53147222,0.11876944,625,NULL,NULL,GB,NULL,51135731,0,Capital_Karts,NA,0,0,0.254152813233,20201216215848,20200713110341,967458632,4710,wikitext,NULL
Barking and Dagenham,598823510,51888773,earth,1,51.5435,0.0945,1000,NULL,NULL,NULL,NULL,51888773,0,"St_Erkenwald's_Church,_Barking",NA,0,0,0.614624613362,20201216215927,20201215051135,931573389,1280,wikitext,NULL
Barking and Dagenham,603186878,51888589,earth,1,51.52845,0.0997,1000,NULL,NULL,NULL,NULL,51888589,0,"Christ_Church,_Barking",NA,0,0,0.98371436639,20201216215927,20201209164134,993251680,1155,wikitext,NULL
Barking and Dagenham,607486862,51509132,earth,1,51.58367222,0.14256389,312,NULL,NULL,GB,NULL,51509132,0,Marks_(manor_house),NA,0,0,0.701080536388,20201229223233,20201229230547,997080612,5503,wikitext,NULL
Barking and Dagenham,608712739,54638106,earth,1,51.57113889,0.13619444,61,landmark,NULL,GB,NULL,54638106,0,"St_Chad's_Church,_Chadwell_Heath",NA,0,0,0.56552049251,20201219173351,20201219204546,988687874,1350,wikitext,NULL
Barking and Dagenham,619973012,51888702,earth,1,51.5337,0.0952,1000,NULL,NULL,NULL,NULL,51888702,0,"St_Patrick's_Church,_Barking",NA,0,0,0.041136441203,20201216215927,20200823034221,852075217,1564,wikitext,NULL
Barking and Dagenham,629910456,2755620,earth,1,51.5358,0.0785,6000,adm3rd,NULL,GB,BDG,2755620,0,Municipal_Borough_of_Barking,NA,0,0,0.815126269637,20201216212633,20201127193013,954334506,7957,wikitext,NULL
Barking and Dagenham,629910457,2755630,earth,1,51.5609,0.1556,10000,adm3rd,NULL,GB,BDG,2755630,0,Municipal_Borough_of_Dagenham,NA,0,0,0.332697530701,20201216212633,20201127193013,919214245,8054,wikitext,NULL
Barking and Dagenham,630857103,10608718,earth,0,51.54,0.13,1000,NULL,NULL,GB,NULL,10608718,0,List_of_United_Kingdom_locations:_Bea-Bem,NA,0,0,0.919305069304,20201216213139,20201212172747,963730060,75859,wikitext,NULL
Barking and Dagenham,630912073,12103181,earth,0,51.52,0.11,1000,NULL,NULL,GB,NULL,12103181,0,List_of_United_Kingdom_locations:_Car-Cd,NA,0,0,0.864696064966,20201216213225,20201212172751,970019864,100897,wikitext,NULL
Barking and Dagenham,630914376,12118669,earth,0,51.53555556,0.07527778,1000,landmark,Barking Abbey,GB,NULL,12118669,0,List_of_monastic_houses_in_London,NA,0,0,0.713440148474,20201218212714,20201218212743,995033992,62379,wikitext,NULL
Barking and Dagenham,630915342,12118951,earth,0,51.53,0.13,10000,city,NULL,GB,NULL,12118951,0,List_of_United_Kingdom_locations:_Da-Dam,NA,0,0,0.549419212895,20201216213225,20201212172744,974370943,30781,wikitext,NULL
Barking and Dagenham,630917736,12154338,earth,0,51.54,0.08,1000,NULL,NULL,GB,NULL,12154338,0,List_of_United_Kingdom_locations:_Fa-Fe,NA,0,0,0.526490358062,20201216213227,20201212172751,989030513,80835,wikitext,NULL
Barking and Dagenham,630929681,12249690,earth,0,51.54,0.07,1000,NULL,NULL,GB,NULL,12249690,0,List_of_United_Kingdom_locations:_Low-Loz,NA,0,0,0.6511663458249999,20201216213229,20201212172751,893632305,107081,wikitext,NULL
Barking and Dagenham,630937123,12281993,earth,0,51.55,0.18,1000,NULL,NULL,GB,NULL,12281993,0,List_of_United_Kingdom_locations:_Ri-Ror,NA,0,0,0.277943859509,20201217223627,20201217223627,994861312,86185,wikitext,NULL
Barking and Dagenham,631637441,20413990,earth,0,51.5487,0.1427,1000,NULL,Becontree,NULL,NULL,20413990,0,List_of_council_estates_in_the_United_Kingdom,NA,0,0,0.33302471765,20201230220251,20201230220251,997299040,11624,wikitext,NULL
Barking and Dagenham,632199694,26220374,earth,0,51.536,0.077,10000,city,Barking,GB,NULL,26220374,0,List_of_market_towns_in_London,NA,0,0,0.711671493593,20201216214153,20200922221852,968608922,6792,wikitext,NULL
Barking and Dagenham,632199696,26220374,earth,0,51.536,0.077,10000,city,Bromley,GB,NULL,26220374,0,List_of_market_towns_in_London,NA,0,0,0.711671493593,20201216214153,20200922221852,968608922,6792,wikitext,NULL
Barking and Dagenham,632199700,26220374,earth,0,51.536,0.077,10000,city,Kingston upon Thames,GB,NULL,26220374,0,List_of_market_towns_in_London,NA,0,0,0.711671493593,20201216214153,20200922221852,968608922,6792,wikitext,NULL
Barking and Dagenham,632645377,29635619,earth,1,51.525,0.103,1000,NULL,NULL,NULL,NULL,29635619,0,Green_Enterprise_District,NA,0,0,0.838714626781,20201218082341,20201218082648,994932416,3549,wikitext,NULL
Barking and Dagenham,633528969,40948876,earth,1,51.556,0.185,1000,landmark,NULL,GB,BNE,40948876,0,The_Chase_Nature_Reserve,NA,0,0,0.457065666659,20201229200057,20201229203618,997052771,5165,wikitext,NULL
Barking and Dagenham,633529032,40955292,earth,1,51.544,0.179,1000,landmark,NULL,GB,BNE,40955292,0,Beam_Valley_Country_Park,NA,0,0,0.930126820982,20201216215202,20200924193208,920907053,4464,wikitext,NULL
